cutout_id,Mvir,redshift
3626,167142400000000.0,0.1122
3635,446257600000000.0,0.1113
3644,117163000000000.0,0.1121
3645,113799100000000.0,0.1111
3647,106109900000000.0,0.1139
3648,262199200000000.0,0.1111
3657,129081200000000.0,0.1134
3666,128216200000000.0,0.1095
3669,104668200000000.0,0.1099
3678,213373200000000.0,0.1127
3681,175215900000000.0,0.1126
3694,136289700000000.0,0.116
3701,317657000000000.0,0.1148
3706,201743400000000.0,0.1185
3713,461828100000000.0,0.1155
3714,159645500000000.0,0.1175
3725,142344900000000.0,0.1156
3738,132541300000000.0,0.1153
3749,133694700000000.0,0.1163
3750,114952400000000.0,0.1163
3752,117355300000000.0,0.117
3753,123410500000000.0,0.1181
3754,113318500000000.0,0.1157
3764,131484000000000.0,0.1178
3766,104476000000000.0,0.1152
3771,148688500000000.0,0.1165
3774,154070800000000.0,0.1173
3787,122929900000000.0,0.1175
3794,161856100000000.0,0.1157
3801,149457400000000.0,0.1157
3808,133406300000000.0,0.1144
3811,205203500000000.0,0.1145
3813,111011700000000.0,0.1178
3814,164739500000000.0,0.1142
3817,106013800000000.0,0.117
3819,105244900000000.0,0.1177
3823,169545200000000.0,0.1163
3832,282287000000000.0,0.1162
3835,224041900000000.0,0.1156
3843,154263100000000.0,0.1146
3847,110146700000000.0,0.115
3861,235671700000000.0,0.1161
3870,336303100000000.0,0.1163
3880,165027900000000.0,0.1176
3888,178772200000000.0,0.1168
3889,148784600000000.0,0.1171
3891,119085300000000.0,0.116
3898,131195700000000.0,0.116
3907,112069000000000.0,0.1178
3908,149361300000000.0,0.1177
3914,112261200000000.0,0.1146
3926,204242400000000.0,0.1161
3941,174543100000000.0,0.1151
3951,113222400000000.0,0.1151
3955,103514800000000.0,0.1146
3963,107936100000000.0,0.1156
3969,140999300000000.0,0.1142
3972,186941900000000.0,0.1165
3974,248358700000000.0,0.1178
3977,119085300000000.0,0.115
3979,124948300000000.0,0.1152
3987,200686200000000.0,0.1158
3995,434531700000000.0,0.1155
4015,153974700000000.0,0.1167
4033,227598100000000.0,0.1157
4038,1026402000000000.0,0.1165
4047,183385600000000.0,0.116
4050,103418700000000.0,0.115
4056,373979800000000.0,0.115
4061,104283800000000.0,0.116
4062,166565700000000.0,0.1166
4067,119469800000000.0,0.1166
4068,116105800000000.0,0.1152
4076,138980900000000.0,0.1144
4086,375613800000000.0,0.1158
4097,111588400000000.0,0.1156
4105,677508100000000.0,0.1157
4109,102553700000000.0,0.115
4113,101592600000000.0,0.1146
4131,107743900000000.0,0.1153
4134,144075000000000.0,0.1214
4135,162432800000000.0,0.119
4139,1181722000000000.0,0.1212
4141,173389800000000.0,0.1212
4157,125428900000000.0,0.1215
4165,141383800000000.0,0.1193
4168,112934000000000.0,0.1197
4183,106590500000000.0,0.1198
4184,274982300000000.0,0.12
4202,100727500000000.0,0.1203
4211,114183500000000.0,0.1226
4217,509885100000000.0,0.1216
4218,283152000000000.0,0.12
4232,206260800000000.0,0.1221
4236,214046000000000.0,0.1221
4247,116682500000000.0,0.1201
4253,124179400000000.0,0.1215
4254,113799100000000.0,0.1225
4255,118700900000000.0,0.1197
4264,149841800000000.0,0.1214
4265,129657900000000.0,0.1221
4266,122257100000000.0,0.1219
4267,136482000000000.0,0.12
4268,278058000000000.0,0.1201
4269,149649600000000.0,0.1203
4278,176753800000000.0,0.1205
4280,122737700000000.0,0.1196
4281,172717000000000.0,0.1215
4282,139749900000000.0,0.1191
4304,782560700000000.0,0.1232
4305,103995400000000.0,0.1195
4307,120142600000000.0,0.1192
4311,103611000000000.0,0.1207
4338,157531000000000.0,0.1203
4346,355910400000000.0,0.1226
4351,157242600000000.0,0.1201
4355,349182400000000.0,0.1187
4383,242015200000000.0,0.1226
4386,465768800000000.0,0.121
4390,104764300000000.0,0.1216
4394,245283100000000.0,0.1192
4395,114664100000000.0,0.1196
4397,226637000000000.0,0.1226
4423,123122100000000.0,0.1183
4427,100439200000000.0,0.1215
4429,184154600000000.0,0.1207
4432,139653700000000.0,0.1195
4436,380900000000000.0,0.1192
4449,158203800000000.0,0.1198
4450,128600600000000.0,0.1198
4474,314004700000000.0,0.1226
4483,107743900000000.0,0.1206
4491,108705000000000.0,0.1208
4499,156665900000000.0,0.122
4513,124756100000000.0,0.122
4514,470670600000000.0,0.1215
4516,198667800000000.0,0.1227
4525,108416700000000.0,0.1216
4542,172332500000000.0,0.1221
4547,170121900000000.0,0.1191
4553,120623200000000.0,0.1224
4563,135040300000000.0,0.1193
4572,207990800000000.0,0.1207
4582,194246500000000.0,0.1208
4592,126390000000000.0,0.121
4617,250281000000000.0,0.1208
4630,102361500000000.0,0.1231
4632,110050600000000.0,0.1254
4636,112357300000000.0,0.1236
4641,185019600000000.0,0.1265
4643,112741800000000.0,0.1232
4653,232692200000000.0,0.1272
4657,319963700000000.0,0.1243
4661,106013800000000.0,0.1251
4668,504983300000000.0,0.1258
4671,170986900000000.0,0.1263
4674,115625200000000.0,0.1254
4692,324673300000000.0,0.1253
4700,472208400000000.0,0.1243
4709,174447000000000.0,0.1264
4722,775352200000000.0,0.1235
4735,192420400000000.0,0.1236
4736,163393900000000.0,0.127
4738,124179400000000.0,0.1244
4741,119950400000000.0,0.1253
4746,111300100000000.0,0.1256
4750,198667800000000.0,0.124
4753,244418100000000.0,0.1244
4768,166373400000000.0,0.1253
4769,205107400000000.0,0.1263
4776,145324500000000.0,0.1259
4783,160991100000000.0,0.1249
4799,102169300000000.0,0.1249
4816,165604500000000.0,0.1249
4819,379170000000000.0,0.1229
4820,445392600000000.0,0.1259
4833,235191100000000.0,0.1256
4853,110723400000000.0,0.124
4861,307084400000000.0,0.1255
4871,662610400000000.0,0.127
4880,156954300000000.0,0.1236
4888,186269100000000.0,0.1241
4892,137731500000000.0,0.1264
4894,154551400000000.0,0.1245
4899,119565900000000.0,0.1245
4902,245859800000000.0,0.1231
4919,171755800000000.0,0.1236
4922,119181400000000.0,0.1256
4943,117451400000000.0,0.1264
4944,262968100000000.0,0.1263
4957,231250400000000.0,0.1263
4980,106878800000000.0,0.1259
4984,293628500000000.0,0.1264
4990,191074800000000.0,0.1236
4994,155704800000000.0,0.1245
4999,237882300000000.0,0.1229
5012,122641500000000.0,0.1227
5014,195207700000000.0,0.123
5029,885595000000000.0,0.1255
5040,122353200000000.0,0.1248
5042,121584300000000.0,0.126
5044,101208100000000.0,0.1255
5047,125525000000000.0,0.1255
5063,290552800000000.0,0.1256
5064,101496500000000.0,0.1263
5073,100727500000000.0,0.1255
5074,155128100000000.0,0.1267
5079,147150600000000.0,0.1239
5083,133502400000000.0,0.1235
5089,269792200000000.0,0.123
5091,156762000000000.0,0.1268
5100,111684500000000.0,0.1263
5111,578510600000000.0,0.1298
5112,209048100000000.0,0.1302
5117,158299900000000.0,0.1272
5119,109473900000000.0,0.1304
5124,125909400000000.0,0.1279
5130,163970600000000.0,0.1304
5132,102361500000000.0,0.1301
5134,157915400000000.0,0.1295
5138,128216200000000.0,0.1295
5151,159933800000000.0,0.1298
5152,179445000000000.0,0.1273
5157,225003000000000.0,0.1288
5162,168584100000000.0,0.1296
5181,196072700000000.0,0.1281
5195,146093400000000.0,0.1295
5197,107551600000000.0,0.1282
5202,197610500000000.0,0.1281
5209,220966200000000.0,0.1282
5217,339282700000000.0,0.1307
5226,801399100000000.0,0.1298
5229,108897200000000.0,0.1301
5231,157915400000000.0,0.1277
5237,116874700000000.0,0.1273
5241,132445200000000.0,0.131
5247,148784600000000.0,0.1292
5261,298530300000000.0,0.1286
5262,314389100000000.0,0.1298
5279,138788700000000.0,0.1289
5288,244033600000000.0,0.1292
5293,159933800000000.0,0.1274
5294,561306100000000.0,0.1306
5298,215199400000000.0,0.1302
5303,224426300000000.0,0.1301
5317,137443100000000.0,0.1305
5330,271618400000000.0,0.1292
5332,136385900000000.0,0.1279
5344,176273200000000.0,0.1309
5357,212123700000000.0,0.1306
5359,237594000000000.0,0.1293
5361,133502400000000.0,0.1302
5368,110819500000000.0,0.1312
5373,114087400000000.0,0.1295
5374,256912900000000.0,0.1306
5389,144651700000000.0,0.1289
5405,209240300000000.0,0.1287
5413,146862300000000.0,0.1311
5421,213757700000000.0,0.1279
5429,403390700000000.0,0.1278
5432,145805000000000.0,0.1286
5437,337648700000000.0,0.1281
5462,125332700000000.0,0.1306
5463,179252700000000.0,0.131
5467,139557600000000.0,0.1302
5477,118124200000000.0,0.1284
5479,160798800000000.0,0.1282
5483,107455500000000.0,0.1296
5484,184635100000000.0,0.13
5493,139846000000000.0,0.1281
5505,164739500000000.0,0.13
5508,180598300000000.0,0.1283
5519,305931100000000.0,0.1304
5524,128023900000000.0,0.1289
5526,141960500000000.0,0.1316
5527,270753300000000.0,0.1289
5548,117739700000000.0,0.1283
5560,141768200000000.0,0.1295
5570,103803200000000.0,0.1307
5574,114375700000000.0,0.1306
5578,112165100000000.0,0.1292
5580,111011700000000.0,0.1302
5596,170218000000000.0,0.1274
5602,209817000000000.0,0.1305
5604,128792800000000.0,0.1323
5606,137827600000000.0,0.1359
5611,106782700000000.0,0.1324
5614,365906200000000.0,0.1345
5623,104668200000000.0,0.133
5625,124179400000000.0,0.1336
5626,106302200000000.0,0.1336
5627,331113000000000.0,0.1357
5630,177522700000000.0,0.1348
5634,256047900000000.0,0.1334
5639,105821600000000.0,0.1346
5647,109185600000000.0,0.1354
5651,377632200000000.0,0.1357
5652,168488000000000.0,0.1319
5655,105341000000000.0,0.1318
5664,129465600000000.0,0.1336
5671,107551600000000.0,0.1341
5672,267966000000000.0,0.1332
5681,231923200000000.0,0.135
5682,175504300000000.0,0.1336
5685,110435100000000.0,0.1321
5693,564093500000000.0,0.1341
5697,128023900000000.0,0.133
5699,119181400000000.0,0.1352
5701,103514800000000.0,0.1348
5708,118028100000000.0,0.1342
5716,103803200000000.0,0.1356
5728,243360800000000.0,0.1341
5740,215391600000000.0,0.135
5752,136097500000000.0,0.1339
5755,149649600000000.0,0.1341
5761,431456000000000.0,0.1328
5762,101880900000000.0,0.1348
5782,601193500000000.0,0.1355
5784,146862300000000.0,0.1323
5794,101304200000000.0,0.1351
5804,584758000000000.0,0.136
5817,272867800000000.0,0.1354
5828,262295300000000.0,0.1348
5830,101880900000000.0,0.1338
5834,103226500000000.0,0.135
5843,111204000000000.0,0.1327
5855,330151800000000.0,0.1336
5868,155320300000000.0,0.1336
5884,212892700000000.0,0.1336
5895,121488200000000.0,0.1337
5900,201455100000000.0,0.1341
5908,109954500000000.0,0.135
5909,147246700000000.0,0.1339
5933,145324500000000.0,0.1315
5936,143594400000000.0,0.132
5939,185788500000000.0,0.1342
5943,223753500000000.0,0.1323
5946,117355300000000.0,0.1316
5947,142633300000000.0,0.1356
5949,112645700000000.0,0.1315
5951,143210000000000.0,0.1325
5968,109185600000000.0,0.1338
5984,120911500000000.0,0.1351
5990,131964600000000.0,0.132
6000,169737400000000.0,0.1355
6018,493834100000000.0,0.1357
6020,150514600000000.0,0.135
6023,111684500000000.0,0.132
6039,174639300000000.0,0.1323
6040,207990800000000.0,0.1347
6041,376478800000000.0,0.1319
6042,359658800000000.0,0.1341
6053,102457600000000.0,0.1333
6067,102265400000000.0,0.1324
6076,121392100000000.0,0.1357
6078,462500900000000.0,0.1337
6080,181655600000000.0,0.135
6092,144267200000000.0,0.1327
6096,287188800000000.0,0.1352
6098,134367500000000.0,0.1337
6106,118028100000000.0,0.1325
6118,140134300000000.0,0.1354
6123,209240300000000.0,0.1318
6132,271618400000000.0,0.1327
6137,155512600000000.0,0.132
6142,193766000000000.0,0.1357
6149,104668200000000.0,0.133
6151,109858400000000.0,0.1351
6153,131003500000000.0,0.1348
6155,100631400000000.0,0.1339
6158,220005100000000.0,0.1342
6165,324288900000000.0,0.1354
6175,185788500000000.0,0.1366
6176,108897200000000.0,0.1374
6186,109377800000000.0,0.1383
6192,286323800000000.0,0.1376
6195,121584300000000.0,0.1368
6201,107455500000000.0,0.1376
6202,216929400000000.0,0.1369
6213,211258700000000.0,0.137
6218,116298000000000.0,0.1382
6225,202896800000000.0,0.1403
6226,455388400000000.0,0.1398
6229,175888700000000.0,0.14
6250,147727300000000.0,0.136
6253,181559500000000.0,0.1374
6254,131772400000000.0,0.1379
6258,361004400000000.0,0.1404
6264,128023900000000.0,0.1377
6266,133021900000000.0,0.1366
6274,101784800000000.0,0.1387
6275,296223600000000.0,0.1403
6281,125332700000000.0,0.1376
6293,435204500000000.0,0.1379
6298,161567700000000.0,0.1381
6303,103034300000000.0,0.1372
6309,110338900000000.0,0.14
6321,277385200000000.0,0.1395
6325,156858200000000.0,0.1382
6328,101208100000000.0,0.1387
6347,406081900000000.0,0.1374
6349,252491700000000.0,0.1378
6353,210970400000000.0,0.139
6355,202512300000000.0,0.1377
6359,247685900000000.0,0.1404
6362,601577900000000.0,0.1379
6369,147342900000000.0,0.1382
6370,133214100000000.0,0.1387
6380,158011500000000.0,0.1399
6385,147823400000000.0,0.1401
6391,131099600000000.0,0.1403
6395,103514800000000.0,0.1403
6412,402814100000000.0,0.1404
6418,230289300000000.0,0.1398
6421,223176900000000.0,0.1405
6425,147535100000000.0,0.1369
6431,241054100000000.0,0.1396
6434,137539200000000.0,0.137
6435,171467500000000.0,0.1391
6438,351296900000000.0,0.1368
6442,353795900000000.0,0.1373
6455,205780200000000.0,0.1395
6457,144651700000000.0,0.1366
6465,158107600000000.0,0.1391
6468,184154600000000.0,0.1398
6472,108416700000000.0,0.1364
6486,123026000000000.0,0.1377
6490,108993400000000.0,0.139
6499,112934000000000.0,0.14
6503,116778600000000.0,0.1369
6515,752573100000000.0,0.1391
6522,103707100000000.0,0.1379
6525,164931700000000.0,0.1378
6539,307468900000000.0,0.137
6541,416462200000000.0,0.1391
6546,107551600000000.0,0.1363
6554,132637400000000.0,0.1385
6565,109473900000000.0,0.139
6572,251338300000000.0,0.1364
6574,139269300000000.0,0.1388
6577,135232500000000.0,0.1388
6588,190882500000000.0,0.1379
6593,493161300000000.0,0.139
6598,166181200000000.0,0.1386
6599,102361500000000.0,0.1365
6606,209528700000000.0,0.1381
6608,212892700000000.0,0.1361
6615,199244500000000.0,0.1383
6618,207510300000000.0,0.1369
6621,159261000000000.0,0.1381
6623,662802600000000.0,0.1395
6629,158876600000000.0,0.1379
6644,104572100000000.0,0.1394
6652,432609400000000.0,0.1374
6655,153013600000000.0,0.1403
6679,184731200000000.0,0.1373
6689,266236000000000.0,0.1369
6693,240573500000000.0,0.1395
6698,121872600000000.0,0.14
6702,144940000000000.0,0.1368
6703,113991300000000.0,0.1368
6706,230385400000000.0,0.1403
6712,134367500000000.0,0.1379
6722,103418700000000.0,0.143
6724,120334800000000.0,0.1426
6727,116298000000000.0,0.1424
6733,159068800000000.0,0.1434
6734,107263300000000.0,0.1425
6737,297953600000000.0,0.1412
6739,106878800000000.0,0.1425
6746,100535300000000.0,0.1411
6758,202896800000000.0,0.1404
6759,104187600000000.0,0.1404
6760,119181400000000.0,0.1421
6765,252203300000000.0,0.1417
6766,327364500000000.0,0.1422
6788,130042300000000.0,0.1409
6791,331785800000000.0,0.1412
6811,199917300000000.0,0.1407
6832,104764300000000.0,0.1416
6833,110627300000000.0,0.1418
6834,380035000000000.0,0.142
6835,129754000000000.0,0.1414
6848,125621100000000.0,0.1404
6852,137058700000000.0,0.1428
6875,154647500000000.0,0.1405
6876,240669600000000.0,0.1418
6889,134367500000000.0,0.1435
6890,105341000000000.0,0.1414
6891,123314300000000.0,0.1426
6894,174639300000000.0,0.1407
6896,260373000000000.0,0.1422
6899,111107900000000.0,0.1405
6908,454235100000000.0,0.1424
6910,112357300000000.0,0.1408
6930,448852700000000.0,0.1416
6938,105725500000000.0,0.1414
6940,125428900000000.0,0.1434
6941,151187400000000.0,0.1421
6943,124467700000000.0,0.142
6947,125428900000000.0,0.1433
6960,124659900000000.0,0.1422
6972,130330700000000.0,0.1411
6974,177234300000000.0,0.1428
6986,144363300000000.0,0.1434
7006,159741600000000.0,0.1421
7012,180310000000000.0,0.1422
7014,107936100000000.0,0.1413
7025,235863900000000.0,0.1409
7031,109762300000000.0,0.1431
7044,104572100000000.0,0.1429
7047,286612100000000.0,0.1421
7048,120238700000000.0,0.1434
7057,310064000000000.0,0.1426
7058,198667800000000.0,0.143
7063,129273400000000.0,0.1416
7065,348797900000000.0,0.1421
7089,106590500000000.0,0.1407
7101,102938200000000.0,0.1421
7108,147535100000000.0,0.1434
7115,107551600000000.0,0.1409
7135,105437100000000.0,0.1407
7147,350816300000000.0,0.1434
7154,148688500000000.0,0.1422
7156,221254600000000.0,0.1429
7159,231827100000000.0,0.1435
7181,311986300000000.0,0.1439
7184,501523200000000.0,0.1451
7188,127062800000000.0,0.1446
7194,106494400000000.0,0.1463
7200,175504300000000.0,0.1462
7206,150418500000000.0,0.1441
7208,117259200000000.0,0.1445
7210,105052700000000.0,0.1447
7233,303143800000000.0,0.1459
7236,110050600000000.0,0.1458
7248,174158700000000.0,0.1451
7253,139557600000000.0,0.145
7254,135809200000000.0,0.1447
7256,201551200000000.0,0.1458
7264,161471600000000.0,0.1446
7265,167238500000000.0,0.1456
7267,105725500000000.0,0.1452
7297,295743000000000.0,0.1451
7302,105244900000000.0,0.1454
7325,222792400000000.0,0.1458
7341,106206000000000.0,0.1451
7350,135328600000000.0,0.1439
7359,376190500000000.0,0.1443
7365,139173200000000.0,0.1455
7370,243745300000000.0,0.1459
7384,274213400000000.0,0.1448
7389,167526800000000.0,0.1455
7394,142344900000000.0,0.1455
7396,145708900000000.0,0.1455
7404,135328600000000.0,0.1451
7406,143690500000000.0,0.1458
7410,118700900000000.0,0.1459
7413,119662000000000.0,0.1447
7423,151956300000000.0,0.145
7428,532087500000000.0,0.1443
7439,142344900000000.0,0.145
7453,115625200000000.0,0.1442
7454,190209700000000.0,0.1458
7469,112645700000000.0,0.1448
7473,126390000000000.0,0.1476
7488,191555300000000.0,0.1462
7496,373114800000000.0,0.1466
7535,117643600000000.0,0.1464
7557,209913100000000.0,0.1483
7585,118220300000000.0,0.1473
7587,121968700000000.0,0.1462
7592,135905300000000.0,0.1469
7604,104187600000000.0,0.1462
7611,181367200000000.0,0.1468
7612,128408400000000.0,0.1462
7615,297665300000000.0,0.1462
7619,342262200000000.0,0.1471
7626,171371400000000.0,0.1472
7644,105917700000000.0,0.1467
7648,105533200000000.0,0.1463
7667,140230400000000.0,0.1472
7668,212892700000000.0,0.1479
7673,158588200000000.0,0.1483
7674,134271400000000.0,0.1462
7675,136097500000000.0,0.1463
7705,352354200000000.0,0.1468
7709,468844400000000.0,0.1476
7710,163874500000000.0,0.1463
7714,396951100000000.0,0.1463
7715,211450900000000.0,0.1468
7734,114087400000000.0,0.1477
7738,407043100000000.0,0.1481
7739,115048500000000.0,0.1463
7747,224618600000000.0,0.1475
7760,132445200000000.0,0.1477
7770,169833600000000.0,0.1476
7783,168584100000000.0,0.1459
7787,140422700000000.0,0.1499
7790,127062800000000.0,0.1492
7795,105341000000000.0,0.1501
7803,175408200000000.0,0.1484
7831,294493500000000.0,0.1495
7851,137058700000000.0,0.1501
7856,241438500000000.0,0.1504
7865,168776300000000.0,0.1496
7873,168295700000000.0,0.1487
7898,106302200000000.0,0.15
7899,168968500000000.0,0.1493
7917,121296000000000.0,0.1483
7919,119181400000000.0,0.1488
7933,110242800000000.0,0.1497
7940,284689900000000.0,0.1484
7974,192324200000000.0,0.1483
7991,121872600000000.0,0.1483
7994,119373700000000.0,0.1502
8013,115433000000000.0,0.1492
8015,122929900000000.0,0.1487
8017,147054500000000.0,0.1488
8024,207510300000000.0,0.1497
8025,130330700000000.0,0.1499
8033,114760200000000.0,0.1495
8049,117259200000000.0,0.1481
8061,163970600000000.0,0.1496
8063,155320300000000.0,0.1489
8064,221254600000000.0,0.1493
8073,131676300000000.0,0.1497
8084,120815400000000.0,0.1491
8086,107743900000000.0,0.1488
8099,144843900000000.0,0.1499
8100,216641100000000.0,0.1485
8104,148015700000000.0,0.1499
8107,102553700000000.0,0.1492
8110,154167000000000.0,0.1499
8119,132637400000000.0,0.1495
8124,462308700000000.0,0.1488
8125,143402200000000.0,0.1496
8126,103130400000000.0,0.1483
8134,187710800000000.0,0.1491
8138,142921600000000.0,0.1522
8139,107167200000000.0,0.1512
8155,199148300000000.0,0.1517
8157,112261200000000.0,0.1521
8161,170794700000000.0,0.1522
8171,213661600000000.0,0.1522
8180,145612800000000.0,0.1525
8190,684043800000000.0,0.1521
8200,130522900000000.0,0.1518
8202,161952200000000.0,0.1522
8214,101015900000000.0,0.1505
8217,341012700000000.0,0.1517
8220,143882800000000.0,0.1525
8230,130907400000000.0,0.1506
8237,132060700000000.0,0.1524
8256,202416200000000.0,0.1506
8260,108032200000000.0,0.1528
8262,145228400000000.0,0.1528
8285,194631000000000.0,0.1513
8300,159933800000000.0,0.1516
8303,351777500000000.0,0.1526
8316,156858200000000.0,0.1506
8319,467114400000000.0,0.1525
8320,101208100000000.0,0.1509
8330,120046500000000.0,0.1521
8338,237497900000000.0,0.1509
8340,338321500000000.0,0.1516
8343,102361500000000.0,0.1525
8348,509404600000000.0,0.1508
8350,128216200000000.0,0.1522
8354,109762300000000.0,0.1522
8364,128216200000000.0,0.151
8365,103803200000000.0,0.1505
8371,147342900000000.0,0.152
8377,154167000000000.0,0.1506
8379,154167000000000.0,0.1524
8383,602635200000000.0,0.1524
8384,291802300000000.0,0.1521
8386,114279600000000.0,0.1504
8390,101592600000000.0,0.1521
8398,134944100000000.0,0.1508
8404,181751700000000.0,0.1516
8408,154935900000000.0,0.1512
8416,245090900000000.0,0.1513
8423,138019800000000.0,0.1517
8437,280460800000000.0,0.152
8465,143210000000000.0,0.1541
8477,164643400000000.0,0.1534
8486,124371600000000.0,0.1536
8487,375229300000000.0,0.1546
8489,190690300000000.0,0.1537
8497,125525000000000.0,0.1548
8498,347164000000000.0,0.1548
8502,101304200000000.0,0.1546
8509,103611000000000.0,0.1532
8516,171083000000000.0,0.1537
8526,151379700000000.0,0.1544
8530,115144700000000.0,0.1537
8531,416654500000000.0,0.1528
8535,107359400000000.0,0.1548
8543,544678400000000.0,0.1552
8545,164162800000000.0,0.1538
8562,133310200000000.0,0.1533
8573,140518800000000.0,0.1542
8579,150706900000000.0,0.1544
8607,123122100000000.0,0.1532
8613,133598600000000.0,0.1544
8614,104476000000000.0,0.1549
8620,144555600000000.0,0.1528
8621,103707100000000.0,0.1548
8624,275943500000000.0,0.1545
8637,123794900000000.0,0.1529
8649,445680900000000.0,0.1542
8653,166757900000000.0,0.1544
8656,142633300000000.0,0.1552
8658,285554900000000.0,0.1545
8681,106109900000000.0,0.1541
8696,120334800000000.0,0.1537
8699,143978900000000.0,0.1533
8708,325634500000000.0,0.1552
8713,321405400000000.0,0.1529
8715,113414600000000.0,0.1545
8717,132925800000000.0,0.154
8726,202704600000000.0,0.1545
8727,195496000000000.0,0.1544
8730,119950400000000.0,0.1549
8734,136866400000000.0,0.1536
8735,113799100000000.0,0.1545
8744,108801100000000.0,0.1534
8749,100150900000000.0,0.1544
8753,151091300000000.0,0.1545
8781,151475800000000.0,0.1548
8788,381284500000000.0,0.1573
8789,247878200000000.0,0.1562
8791,226444700000000.0,0.1576
8795,168872400000000.0,0.1557
8796,113030100000000.0,0.1553
8807,173966500000000.0,0.1557
8821,118700900000000.0,0.1569
8825,197706600000000.0,0.1562
8829,140999300000000.0,0.157
8849,322943300000000.0,0.1565
8853,101112000000000.0,0.1576
8860,130138400000000.0,0.1566
8864,162240500000000.0,0.1565
